Order	Family	Subfamily	Tribe	Genus	Species	LivingGenus	LivingRelative	Living	TaxonString	FCT_HYP	FCT_LOP	FCT_HOR	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM
Artiodactyla	Bovidae	NA	Antilopini	Gazella	janenschi	Gazella	Nanger granti	0	ArtiodactylaBovidaeAntilopiniGazellajanenschi	3	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Antilopini	Gazella	praethomsoni	Gazella	Eudorcas thomsonii	0	ArtiodactylaBovidaeAntilopiniGazellapraethomsoni	3	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Antilopini	Gazella	sp nov	Gazella	NA	NA	ArtiodactylaBovidaeAntilopiniGazellasp nov	3	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Antilopini	Gazella	thompsoni	Gazella	Eudorcas thomsonii	1	ArtiodactylaBovidaeAntilopiniGazellathompsoni	3	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Antilopini	Gazella	NA	Gazella	NA	NA	ArtiodactylaBovidaeAntilopiniGazella	3	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Antilopini	Gazella	NA	Gazella	NA	NA	ArtiodactylaBovidaeAntilopiniGazellaindet	3	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Antilopini	Madoqua	NA	Madoqua	NA	NA	ArtiodactylaBovidaeAntilopiniMadoqua	3	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Antilopini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeAntilopini	3	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Antilopini/Aepycerotini	Aepyceros	shungurae	Aepyceros	Aepyceros melampus	0	ArtiodactylaBovidaeAntilopini/AepycerotiniAepycerosshungurae	3	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Boselaphini	Miotragocerus	sp	Taurotragus	NA	NA	ArtiodactylaBovidaeBoselaphiniMiotragocerussp	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Boselaphini	Tragoportax	sp	Taurotragus	NA	NA	ArtiodactylaBovidaeBoselaphiniTragoportaxsp	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Boselaphini	Tragoportax	NA	Taurotragus	NA	NA	ArtiodactylaBovidaeBoselaphiniTragoportax	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Boselaphini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeBoselaphiniindetindet	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Bovini	Pelorovis	oldowayensis	Syncerus	Syncerus caffer	0	ArtiodactylaBovidaeBoviniPelorovisoldowayensis	3	2	1	0	1	0	1	1
Artiodactyla	Bovidae	NA	Bovini	Pelorovis	turkanensis	Syncerus	Syncerus caffer	0	ArtiodactylaBovidaeBoviniPelorovisturkanensis	3	2	1	0	1	0	1	1
Artiodactyla	Bovidae	NA	Bovini	Pelorovis	NA	Syncerus	NA	NA	ArtiodactylaBovidaeBoviniPelorovis	3	2	1	0	1	0	1	1
Artiodactyla	Bovidae	NA	Bovini	Pelorovis	NA	Syncerus	NA	NA	ArtiodactylaBovidaeBovinicf Pelorovis	3	2	1	0	1	0	1	1
Artiodactyla	Bovidae	NA	Bovini	Simatherium	demissum	Syncerus	Syncerus caffer	0	ArtiodactylaBovidaeBoviniSimatheriumdemissum	3	2	1	0	1	0	1	1
