UniqueKey	EastWest	Formation	Member	MidMemberAge	Order	Family	Subfamily	Tribe	Genus	Species	TaxonString	ComLocID	noSpecies	ComLoc_raw	ComLoc
20025	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Alcelaphini	Connochaetes	gentryi	ArtiodactylaBovidaeAlcelaphiniConnochaetesgentryi	3	21	117 >< Lokochot	117 >< Lokochot
20026	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Reduncini	NA	NA	ArtiodactylaBovidaeReduncini	3	21	117 >< Lokochot	117 >< Lokochot
20027	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Alcelaphini	Connochaetes	gentryi	ArtiodactylaBovidaeAlcelaphiniConnochaetesgentryi	3	21	117 >< Lokochot	117 >< Lokochot
20028	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Reduncini	Kobus	oricornus	ArtiodactylaBovidaeRedunciniKobusoricornus	3	21	117 >< Lokochot	117 >< Lokochot
20029	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	3	21	117 >< Lokochot	117 >< Lokochot
20030	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	3	21	117 >< Lokochot	117 >< Lokochot
20031	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	3	21	117 >< Lokochot	117 >< Lokochot
20032	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	3	21	117 >< Lokochot	117 >< Lokochot
20033	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	3	21	117 >< Lokochot	117 >< Lokochot
20034	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	3	21	117 >< Lokochot	117 >< Lokochot
20035	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Bovini	Simatherium	kohllarseni	ArtiodactylaBovidaeBoviniSimatheriumkohllarseni	3	21	117 >< Lokochot	117 >< Lokochot
20036	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Alcelaphini	Parmularius	angusticornis	ArtiodactylaBovidaeAlcelaphiniParmulariusangusticornis	3	21	117 >< Lokochot	117 >< Lokochot
20037	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Aepycerotini	Aepyceros	shungurae	ArtiodactylaBovidaeAepycerotiniAepycerosshungurae	3	21	117 >< Lokochot	117 >< Lokochot
20038	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Aepycerotini	Aepyceros	shungurae	ArtiodactylaBovidaeAepycerotiniAepycerosshungurae	3	21	117 >< Lokochot	117 >< Lokochot
20039	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Aepycerotini	Aepyceros	shungurae	ArtiodactylaBovidaeAepycerotiniAepycerosshungurae	3	21	117 >< Lokochot	117 >< Lokochot
20040	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Aepycerotini	Aepyceros	shungurae	ArtiodactylaBovidaeAepycerotiniAepycerosshungurae	3	21	117 >< Lokochot	117 >< Lokochot
20041	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Aepycerotini	Aepyceros	shungurae	ArtiodactylaBovidaeAepycerotiniAepycerosshungurae	3	21	117 >< Lokochot	117 >< Lokochot
20042	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Aepycerotini	Aepyceros	shungurae	ArtiodactylaBovidaeAepycerotiniAepycerosshungurae	3	21	117 >< Lokochot	117 >< Lokochot
20043	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Giraffidae	NA	Giraffini	Giraffa	pygmaea	ArtiodactylaGiraffidaeGiraffiniGiraffapygmaea	3	21	117 >< Lokochot	117 >< Lokochot
20044	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Giraffidae	NA	Giraffini	Giraffa	NA	ArtiodactylaGiraffidaeGiraffiniGiraffa	3	21	117 >< Lokochot	117 >< Lokochot
20045	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Giraffidae	NA	Sivatheriini	Sivatherium	maurusium	ArtiodactylaGiraffidaeSivatheriiniSivatheriummaurusium	3	21	117 >< Lokochot	117 >< Lokochot
20046	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	NA	NA	NA	ArtiodactylaBovidae	3	21	117 >< Lokochot	117 >< Lokochot
20047	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Giraffidae	NA	Giraffini	Giraffa	pygmaea	ArtiodactylaGiraffidaeGiraffiniGiraffapygmaea	3	21	117 >< Lokochot	117 >< Lokochot
20048	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Giraffidae	NA	Giraffini	Giraffa	jumae	ArtiodactylaGiraffidaeGiraffiniGiraffajumae	3	21	117 >< Lokochot	117 >< Lokochot
20049	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Giraffidae	NA	Giraffini	Giraffa	pygmaea	ArtiodactylaGiraffidaeGiraffiniGiraffapygmaea	3	21	117 >< Lokochot	117 >< Lokochot
20050	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Giraffidae	NA	Giraffini	Giraffa	NA	ArtiodactylaGiraffidaeGiraffiniGiraffa	3	21	117 >< Lokochot	117 >< Lokochot
20051	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	Cercopithecinae	Papionini	Parapapio	ado	PrimatesCercopithecidaeCercopithecinaePapioniniParapapioado	3	21	117 >< Lokochot	117 >< Lokochot
20052	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	Cercopithecinae	Theropithecini	Theropithecus	brumpti	PrimatesCercopithecidaeCercopithecinaeTheropitheciniTheropithecusbrumpti	3	21	117 >< Lokochot	117 >< Lokochot
20053	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	NA	NA	NA	NA	PrimatesCercopithecidae	3	21	117 >< Lokochot	117 >< Lokochot
20054	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	NA	NA	NA	NA	PrimatesCercopithecidae	3	21	117 >< Lokochot	117 >< Lokochot
20055	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	Colobinae	Colobini	Rhinocolobus/Cercopithecoides	NA	PrimatesCercopithecidaeColobinaeColobiniRhinocolobus/Cercopithecoides	3	21	117 >< Lokochot	117 >< Lokochot
20056	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	Colobinae	Colobini	Rhinocolobus/Cercopithecoides	NA	PrimatesCercopithecidaeColobinaeColobiniRhinocolobus/Cercopithecoides	3	21	117 >< Lokochot	117 >< Lokochot
20057	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	Cercopithecinae	Theropithecini	Theropithecus	brumpti	PrimatesCercopithecidaeCercopithecinaeTheropitheciniTheropithecusbrumpti	3	21	117 >< Lokochot	117 >< Lokochot
20058	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	Cercopithecinae	Theropithecini	Theropithecus	baringensis	PrimatesCercopithecidaeCercopithecinaeTheropitheciniTheropithecusbaringensis	3	21	117 >< Lokochot	117 >< Lokochot
20059	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	NA	NA	NA	NA	PrimatesCercopithecidae	3	21	117 >< Lokochot	117 >< Lokochot
20060	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	NA	NA	NA	NA	PrimatesCercopithecidae	3	21	117 >< Lokochot	117 >< Lokochot
20061	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	Cercopithecinae	Theropithecini	Theropithecus	NA	PrimatesCercopithecidaeCercopithecinaeTheropitheciniTheropithecus	3	21	117 >< Lokochot	117 >< Lokochot
20062	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	Cercopithecinae	Theropithecini	Theropithecus	NA	PrimatesCercopithecidaeCercopithecinaeTheropitheciniTheropithecus	3	21	117 >< Lokochot	117 >< Lokochot
20063	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	Cercopithecinae	Theropithecini	Theropithecus	brumpti	PrimatesCercopithecidaeCercopithecinaeTheropitheciniTheropithecusbrumpti	3	21	117 >< Lokochot	117 >< Lokochot
20064	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	Cercopithecinae	Theropithecini	Theropithecus	brumpti	PrimatesCercopithecidaeCercopithecinaeTheropitheciniTheropithecusbrumpti	3	21	117 >< Lokochot	117 >< Lokochot
20065	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	Cercopithecinae	Theropithecini	Theropithecus	brumpti	PrimatesCercopithecidaeCercopithecinaeTheropitheciniTheropithecusbrumpti	3	21	117 >< Lokochot	117 >< Lokochot
20066	E	Koobi Fora	Lokochot	3.52	Carnivora	Hyaenidae	NA	NA	Hyaena	sp	CarnivoraHyaenidaeHyaenasp	3	21	117 >< Lokochot	117 >< Lokochot
20067	E	Koobi Fora	Lokochot	3.52	Carnivora	Hyaenidae	NA	NA	Crocuta	sp	CarnivoraHyaenidaeCrocutasp	3	21	117 >< Lokochot	117 >< Lokochot
20068	E	Koobi Fora	Lokochot	3.52	Carnivora	Hyaenidae	NA	NA	Crocuta	dietrichi	CarnivoraHyaenidaeCrocutadietrichi	3	21	117 >< Lokochot	117 >< Lokochot
20069	E	Koobi Fora	Lokochot	3.52	Carnivora	Mustelidae	NA	NA	NA	NA	CarnivoraMustelidae	3	21	117 >< Lokochot	117 >< Lokochot
20070	E	Koobi Fora	Lokochot	3.52	Carnivora	Mustelidae	NA	Enhydrini	Enhydriodon	afman	CarnivoraMustelidaeEnhydriniEnhydriodonafman	3	21	117 >< Lokochot	117 >< Lokochot
20071	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	Cercopithecinae	Theropithecini	Theropithecus	brumpti	PrimatesCercopithecidaeCercopithecinaeTheropitheciniTheropithecusbrumpti	3	21	117 >< Lokochot	117 >< Lokochot
20072	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	Colobinae	Colobini	Rhinocolobus/Cercopithecoides	NA	PrimatesCercopithecidaeColobinaeColobiniRhinocolobus/Cercopithecoides	3	21	117 >< Lokochot	117 >< Lokochot
20073	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Reduncini	Kobus	kob	ArtiodactylaBovidaeRedunciniKobuskob	3	21	117 >< Lokochot	117 >< Lokochot
20074	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	Cercopithecinae	Theropithecini	Theropithecus	brumpti	PrimatesCercopithecidaeCercopithecinaeTheropitheciniTheropithecusbrumpti	3	21	117 >< Lokochot	117 >< Lokochot
20075	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	Cercopithecinae	Theropithecini	Theropithecus	brumpti	PrimatesCercopithecidaeCercopithecinaeTheropitheciniTheropithecusbrumpti	3	21	117 >< Lokochot	117 >< Lokochot
20076	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	Colobinae	Colobini	Rhinocolobus/Cercopithecoides	NA	PrimatesCercopithecidaeColobinaeColobiniRhinocolobus/Cercopithecoides	3	21	117 >< Lokochot	117 >< Lokochot
20077	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Giraffidae	NA	Giraffini	Giraffa	NA	ArtiodactylaGiraffidaeGiraffiniGiraffa	3	21	117 >< Lokochot	117 >< Lokochot
20078	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Giraffidae	NA	Giraffini	Giraffa	stillei	ArtiodactylaGiraffidaeGiraffiniGiraffastillei	3	21	117 >< Lokochot	117 >< Lokochot
20079	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Giraffidae	NA	Giraffini	Giraffa	stillei	ArtiodactylaGiraffidaeGiraffiniGiraffastillei	3	21	117 >< Lokochot	117 >< Lokochot
20080	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Hippopotamidae	NA	NA	Hippopotamus	protamphibius	ArtiodactylaHippopotamidaeHippopotamusprotamphibius	3	21	117 >< Lokochot	117 >< Lokochot
20081	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Hippopotamidae	NA	NA	Hippopotamus	protamphibius	ArtiodactylaHippopotamidaeHippopotamusprotamphibius	3	21	117 >< Lokochot	117 >< Lokochot
20082	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Hippopotamidae	NA	NA	Hippopotamus	protamphibius	ArtiodactylaHippopotamidaeHippopotamusprotamphibius	3	21	117 >< Lokochot	117 >< Lokochot
20083	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Hippopotamidae	NA	NA	Hippopotamus	protamphibius	ArtiodactylaHippopotamidaeHippopotamusprotamphibius	3	21	117 >< Lokochot	117 >< Lokochot
20084	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Hippopotamidae	NA	NA	Hippopotamus	protamphibius	ArtiodactylaHippopotamidaeHippopotamusprotamphibius	3	21	117 >< Lokochot	117 >< Lokochot
20085	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Hippopotamidae	NA	NA	Hippopotamus	protamphibius	ArtiodactylaHippopotamidaeHippopotamusprotamphibius	3	21	117 >< Lokochot	117 >< Lokochot
20086	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	3	21	117 >< Lokochot	117 >< Lokochot
20087	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Reduncini	Kobus	oricornus	ArtiodactylaBovidaeRedunciniKobusoricornus	3	21	117 >< Lokochot	117 >< Lokochot
20088	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	NA	NA	ArtiodactylaBovidaeTragelaphini	3	21	117 >< Lokochot	117 >< Lokochot
20089	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Reduncini	Kobus	sigmoidalis	ArtiodactylaBovidaeRedunciniKobussigmoidalis	3	21	117 >< Lokochot	117 >< Lokochot
20090	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Aepycerotini	Aepyceros	shungurae	ArtiodactylaBovidaeAepycerotiniAepycerosshungurae	3	21	117 >< Lokochot	117 >< Lokochot
20091	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Reduncini	NA	NA	ArtiodactylaBovidaeReduncini	3	21	117 >< Lokochot	117 >< Lokochot
20092	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Aepycerotini	Aepyceros	shungurae	ArtiodactylaBovidaeAepycerotiniAepycerosshungurae	3	21	117 >< Lokochot	117 >< Lokochot
20093	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	3	21	117 >< Lokochot	117 >< Lokochot
20094	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Reduncini	Kobus	oricornus	ArtiodactylaBovidaeRedunciniKobusoricornus	3	21	117 >< Lokochot	117 >< Lokochot
20095	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Antilopini	Gazella	praethomsoni	ArtiodactylaBovidaeAntilopiniGazellapraethomsoni	3	21	117 >< Lokochot	117 >< Lokochot
20096	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Alcelaphini	Megalotragus	NA	ArtiodactylaBovidaeAlcelaphiniMegalotragus	3	21	117 >< Lokochot	117 >< Lokochot
20097	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Antilopini	Gazella	praethomsoni	ArtiodactylaBovidaeAntilopiniGazellapraethomsoni	3	21	117 >< Lokochot	117 >< Lokochot
20098	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	3	21	117 >< Lokochot	117 >< Lokochot
20099	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Bovini	Simatherium	kohllarseni	ArtiodactylaBovidaeBoviniSimatheriumkohllarseni	3	21	117 >< Lokochot	117 >< Lokochot
20100	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Aepycerotini	Aepyceros	shungurae	ArtiodactylaBovidaeAepycerotiniAepycerosshungurae	3	21	117 >< Lokochot	117 >< Lokochot
20101	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Aepycerotini	Aepyceros	shungurae	ArtiodactylaBovidaeAepycerotiniAepycerosshungurae	3	21	117 >< Lokochot	117 >< Lokochot
20102	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	NA	NA	ArtiodactylaBovidaeTragelaphini	3	21	117 >< Lokochot	117 >< Lokochot
20103	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Aepycerotini	Aepyceros	shungurae	ArtiodactylaBovidaeAepycerotiniAepycerosshungurae	3	21	117 >< Lokochot	117 >< Lokochot
20104	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Reduncini	Kobus	oricornus	ArtiodactylaBovidaeRedunciniKobusoricornus	3	21	117 >< Lokochot	117 >< Lokochot
20105	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Reduncini	Kobus	sigmoidalis	ArtiodactylaBovidaeRedunciniKobussigmoidalis	3	21	117 >< Lokochot	117 >< Lokochot
20106	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Bovini	Simatherium	kohllarseni	ArtiodactylaBovidaeBoviniSimatheriumkohllarseni	3	21	117 >< Lokochot	117 >< Lokochot
20107	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Alcelaphini	Connochaetes	gentryi	ArtiodactylaBovidaeAlcelaphiniConnochaetesgentryi	3	21	117 >< Lokochot	117 >< Lokochot
20108	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Reduncini	Kobus	oricornus	ArtiodactylaBovidaeRedunciniKobusoricornus	3	21	117 >< Lokochot	117 >< Lokochot
20109	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Hippopotamidae	NA	NA	Hippopotamus	protamphibius	ArtiodactylaHippopotamidaeHippopotamusprotamphibius	3	21	117 >< Lokochot	117 >< Lokochot
20110	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Hippopotamidae	NA	NA	Hippopotamus	protamphibius	ArtiodactylaHippopotamidaeHippopotamusprotamphibius	3	21	117 >< Lokochot	117 >< Lokochot
20111	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Giraffidae	NA	Giraffini	Giraffa	NA	ArtiodactylaGiraffidaeGiraffiniGiraffa	3	21	117 >< Lokochot	117 >< Lokochot
20112	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Aepycerotini	Aepyceros	shungurae	ArtiodactylaBovidaeAepycerotiniAepycerosshungurae	3	21	117 >< Lokochot	117 >< Lokochot
20113	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Aepycerotini	Aepyceros	shungurae	ArtiodactylaBovidaeAepycerotiniAepycerosshungurae	3	21	117 >< Lokochot	117 >< Lokochot
20114	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	kyaloae	ArtiodactylaBovidaeTragelaphiniTragelaphuskyaloae	3	21	117 >< Lokochot	117 >< Lokochot
20115	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	NA	NA	ArtiodactylaBovidaeTragelaphini	3	21	117 >< Lokochot	117 >< Lokochot
20116	E	Koobi Fora	Lokochot	3.52	Carnivora	NA	NA	NA	NA	NA	Carnivora	3	21	117 >< Lokochot	117 >< Lokochot
20117	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Alcelaphini	Connochaetes	gentryi	ArtiodactylaBovidaeAlcelaphiniConnochaetesgentryi	4	15	129 >< Lokochot	129 >< Lokochot
20118	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Suidae	Tetraconodontinae	NA	Notochoerus	euilus	ArtiodactylaSuidaeTetraconodontinaeNotochoeruseuilus	4	15	129 >< Lokochot	129 >< Lokochot
20119	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Suidae	Tetraconodontinae	NA	Nyanzachoerus	kanamensis	ArtiodactylaSuidaeTetraconodontinaeNyanzachoeruskanamensis	4	15	129 >< Lokochot	129 >< Lokochot
20120	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Suidae	Tetraconodontinae	NA	Notochoerus	euilus	ArtiodactylaSuidaeTetraconodontinaeNotochoeruseuilus	4	15	129 >< Lokochot	129 >< Lokochot
20121	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Suidae	Tetraconodontinae	NA	Notochoerus	euilus	ArtiodactylaSuidaeTetraconodontinaeNotochoeruseuilus	4	15	129 >< Lokochot	129 >< Lokochot
20122	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Suidae	Tetraconodontinae	NA	Notochoerus	euilus	ArtiodactylaSuidaeTetraconodontinaeNotochoeruseuilus	4	15	129 >< Lokochot	129 >< Lokochot
20123	E	Koobi Fora	Lokochot	3.52	Perissodactyla	Equidae	NA	Hipparionini	Hipparion	hasumense	PerissodactylaEquidaeHipparioniniHipparionhasumense	4	15	129 >< Lokochot	129 >< Lokochot
20124	E	Koobi Fora	Lokochot	3.52	Perissodactyla	Equidae	NA	Hipparionini	Hipparion	hasumense	PerissodactylaEquidaeHipparioniniHipparionhasumense	4	15	129 >< Lokochot	129 >< Lokochot
