SITE	lon_bio	lat_bio	bio1	bio12	NPP
60092	24.22	-24.42	199	398	697
60093	24.71	-24.42	196	446	769
60094	25.21	-24.42	192	486	827
60095	25.7	-24.42	196	473	809
60096	26.19	-24.42	202	466	798
60097	26.69	-24.42	209	478	816
60098	27.18	-24.42	213	539	903
60099	27.67	-24.42	169	710	1128
60100	28.17	-24.42	184	622	1015
60101	28.66	-24.42	184	587	968
60102	29.15	-24.42	197	519	875
60103	29.65	-24.42	201	626	1020
60104	30.14	-24.42	191	799	1235
60105	30.63	-24.42	193	807	1244
60106	31.13	-24.42	215	602	988
60107	31.62	-24.42	219	589	971
60108	32.11	-24.42	229	598	983
60109	32.61	-24.42	236	671	1079
60110	33.1	-24.42	242	650	1052
60111	33.59	-24.42	244	682	1093
60112	34.09	-24.42	241	705	1121
60113	34.58	-24.42	237	798	1234
60114	35.07	-24.42	232	928	1380
60804	14.65	-23.97	170	13	26
60805	15.15	-23.97	189	38	75
60806	15.64	-23.97	190	82	159
60807	16.13	-23.97	176	164	310
60808	16.62	-23.97	178	228	421
60809	17.11	-23.97	187	229	423
60810	17.6	-23.97	198	216	401
60811	18.1	-23.97	199	231	427
60812	18.59	-23.97	198	248	455
60813	19.08	-23.97	196	241	444
60814	19.57	-23.97	197	231	427
60815	20.06	-23.97	198	254	466
60816	20.55	-23.97	200	279	507
60817	21.04	-23.97	201	301	543
60818	21.54	-23.97	202	320	574
60819	22.03	-23.97	204	333	595
60820	22.52	-23.97	202	343	611
60821	23.01	-23.97	202	352	625
60822	23.5	-23.97	201	365	646
60823	23.99	-23.97	201	381	671
60824	24.49	-23.97	200	407	710
60825	24.98	-23.97	200	428	742
60826	25.47	-23.97	194	465	797
60827	25.96	-23.97	198	449	773
60828	26.45	-23.97	206	442	763
60829	26.94	-23.97	212	469	803
60830	27.44	-23.97	203	515	869
60831	27.93	-23.97	182	607	995
60832	28.42	-23.97	183	579	958
60833	28.91	-23.97	194	487	829
60834	29.4	-23.97	173	586	967
60835	29.89	-23.97	146	992	1447
60836	30.38	-23.97	211	715	1134
60837	30.88	-23.97	220	515	869
60838	31.37	-23.97	224	516	870
60839	31.86	-23.97	230	510	862
60840	32.35	-23.97	239	528	887
60841	32.84	-23.97	244	563	936
60842	33.33	-23.97	248	587	968
60843	33.83	-23.97	247	610	999
60844	34.32	-23.97	242	662	1067
60845	34.81	-23.97	235	747	1173
60846	35.3	-23.97	232	908	1358
61539	14.96	-23.52	205	16	32
61540	15.45	-23.52	198	82	159
61541	15.94	-23.52	197	149	283
61542	16.43	-23.52	162	234	432
61543	16.92	-23.52	185	269	491
61544	17.41	-23.52	199	251	461
61545	17.9	-23.52	197	249	457
61546	18.39	-23.52	197	247	454
61547	18.88	-23.52	196	264	482
61548	19.37	-23.52	197	259	474
61549	19.86	-23.52	195	274	499
61550	20.35	-23.52	198	292	529
61551	20.84	-23.52	199	315	566
61552	21.33	-23.52	200	335	598
61553	21.82	-23.52	202	350	622
61554	22.31	-23.52	202	358	635
61555	22.8	-23.52	203	362	641
61556	23.29	-23.52	203	367	649
61557	23.78	-23.52	204	374	660
61558	24.27	-23.52	203	385	677
61559	24.76	-23.52	203	398	697
61560	25.25	-23.52	201	417	726
61561	25.74	-23.52	198	427	741
61562	26.23	-23.52	203	414	721
61563	26.72	-23.52	208	429	744
61564	27.21	-23.52	212	423	735
61565	27.7	-23.52	211	406	709
61566	28.19	-23.52	208	460	790
61567	28.68	-23.52	203	455	782
61568	29.17	-23.52	183	566	940
61569	29.66	-23.52	183	783	1216
61570	30.15	-23.52	202	901	1351
61571	30.64	-23.52	218	574	951
61572	31.13	-23.52	224	492	836
61573	31.62	-23.52	221	518	873
61574	32.11	-23.52	234	467	800
61575	32.6	-23.52	242	492	836
61576	33.09	-23.52	246	528	887
61577	33.58	-23.52	247	560	932
61578	34.07	-23.52	245	596	980
61579	34.56	-23.52	239	674	1082
61580	35.05	-23.52	228	861	1306
62275	14.8	-23.07	183	18	36
62276	15.28	-23.07	200	63	123
62277	15.77	-23.07	200	170	320
62278	16.26	-23.07	200	228	421
62279	16.75	-23.07	182	276	502
62280	17.24	-23.07	190	328	587
62281	17.72	-23.07	195	294	532
62282	18.21	-23.07	195	274	499
62283	18.7	-23.07	197	279	507
62284	19.19	-23.07	191	313	563
62285	19.68	-23.07	197	300	542
62286	20.17	-23.07	197	318	571
62287	20.65	-23.07	198	333	595
62288	21.14	-23.07	199	350	622
62289	21.63	-23.07	201	364	644
62290	22.12	-23.07	203	369	652
62291	22.61	-23.07	205	368	650
62292	23.09	-23.07	207	363	643
62293	23.58	-23.07	208	363	643
62294	24.07	-23.07	208	366	647
62295	24.56	-23.07	206	377	664
62296	25.05	-23.07	203	392	688
62297	25.54	-23.07	198	411	717
62298	26.02	-23.07	195	426	739
62299	26.51	-23.07	196	435	753
62300	27	-23.07	202	448	772
62301	27.49	-23.07	209	396	694
62302	27.98	-23.07	215	392	688
62303	28.47	-23.07	202	462	793
62304	28.95	-23.07	167	745	1171
62305	29.44	-23.07	178	685	1096
62306	29.93	-23.07	191	758	1186
62307	30.42	-23.07	215	774	1206
62308	30.91	-23.07	222	595	979
62309	31.39	-23.07	228	434	751
62310	31.88	-23.07	233	422	733
62311	32.37	-23.07	240	433	750
62312	32.86	-23.07	245	481	820
62313	33.35	-23.07	247	541	905
62314	33.84	-23.07	245	572	948
62315	34.32	-23.07	242	602	988
62316	34.81	-23.07	235	754	1182
62317	35.3	-23.07	233	958	1412
63014	14.64	-22.62	162	12	24
63015	15.13	-22.62	195	53	104
63016	15.61	-22.62	206	122	233
63017	16.1	-22.62	190	254	466
63018	16.59	-22.62	185	333	595
63019	17.07	-22.62	188	367	649
63020	17.56	-22.62	187	348	619
63021	18.05	-22.62	191	320	574
63022	18.53	-22.62	195	311	560
63023	19.02	-22.62	192	352	625
63024	19.51	-22.62	195	340	606
63025	19.99	-22.62	199	335	598
63026	20.48	-22.62	200	347	617
63027	20.97	-22.62	202	359	636
63028	21.45	-22.62	204	369	652
63029	21.94	-22.62	207	370	653
63030	22.42	-22.62	209	371	655
63031	22.91	-22.62	210	368	650
63032	23.4	-22.62	211	361	639
63033	23.88	-22.62	210	361	639
63034	24.37	-22.62	208	366	647
63035	24.86	-22.62	205	376	663
63036	25.34	-22.62	201	392	688
63037	25.83	-22.62	195	415	723
63038	26.32	-22.62	188	449	773
63039	26.8	-22.62	197	430	745
63040	27.29	-22.62	193	464	795
63041	27.78	-22.62	210	386	678
63042	28.26	-22.62	214	363	643
63043	28.75	-22.62	213	351	624
63044	29.24	-22.62	205	403	704
63045	29.72	-22.62	214	405	707
63046	30.21	-22.62	222	574	951
63047	30.7	-22.62	212	819	1258
63048	31.18	-22.62	231	515	869
63049	31.67	-22.62	241	392	688
63050	32.16	-22.62	240	392	688
63051	32.64	-22.62	246	448	772
63052	33.13	-22.62	246	515	869
63053	33.62	-22.62	241	578	956
63054	34.1	-22.62	235	611	1000
63055	34.59	-22.62	231	699	1114
63056	35.08	-22.62	234	812	1250
63755	14.5	-22.17	176	15	30
63756	14.98	-22.17	194	53	104
63757	15.47	-22.17	211	112	215
63758	15.95	-22.17	209	232	428
63759	16.44	-22.17	206	292	529
63760	16.92	-22.17	203	354	628
63761	17.41	-22.17	185	427	741
63762	17.89	-22.17	185	405	707
63763	18.38	-22.17	187	383	674
63764	18.86	-22.17	192	382	672
63765	19.35	-22.17	192	383	674
63766	19.83	-22.17	194	382	672
63767	20.32	-22.17	203	360	638
63768	20.8	-22.17	204	374	660
63769	21.29	-22.17	206	386	678
63770	21.77	-22.17	208	391	686
63771	22.26	-22.17	211	387	680
63772	22.74	-22.17	212	381	671
63773	23.23	-22.17	213	372	657
63774	23.71	-22.17	212	363	643
63775	24.2	-22.17	211	358	635
63776	24.68	-22.17	207	367	649
63777	25.17	-22.17	203	381	671
63778	25.65	-22.17	199	396	694
63779	26.14	-22.17	193	424	736
63780	26.62	-22.17	188	467	800
63781	27.11	-22.17	199	432	748
63782	27.59	-22.17	202	400	700
63783	28.08	-22.17	210	375	661
63784	28.56	-22.17	218	331	592
63785	29.05	-22.17	220	339	605
63786	29.53	-22.17	224	316	568
63787	30.02	-22.17	229	345	614
63788	30.5	-22.17	226	457	785
63789	30.99	-22.17	239	439	759
63790	31.47	-22.17	241	461	791
63791	31.96	-22.17	236	464	795
63792	32.44	-22.17	242	477	814
63793	32.93	-22.17	244	524	882
63794	33.41	-22.17	238	576	953
63795	33.9	-22.17	232	587	968
63796	34.38	-22.17	226	668	1075
63797	34.87	-22.17	231	751	1178
64499	14.37	-21.72	191	25	49
64500	14.85	-21.72	206	62	121
64501	15.33	-21.72	204	164	310
64502	15.82	-21.72	208	260	476
64503	16.3	-21.72	201	333	595
64504	16.78	-21.72	189	405	707
64505	17.27	-21.72	192	423	735
64506	17.75	-21.72	185	452	778
64507	18.23	-21.72	185	437	756
64508	18.72	-21.72	191	419	729
64509	19.2	-21.72	194	400	700
64510	19.68	-21.72	197	384	675
64511	20.17	-21.72	201	385	677
64512	20.65	-21.72	203	397	695
64513	21.14	-21.72	205	410	715
64514	21.62	-21.72	206	425	738
64515	22.1	-21.72	212	411	717
64516	22.59	-21.72	215	396	694
64517	23.07	-21.72	215	385	677
64518	23.55	-21.72	214	372	657
64519	24.04	-21.72	214	359	636
64520	24.52	-21.72	211	357	633
64521	25	-21.72	207	366	647
64522	25.49	-21.72	204	376	663
64523	25.97	-21.72	200	392	688
64524	26.45	-21.72	200	407	710
64525	26.94	-21.72	203	406	709
64526	27.42	-21.72	207	352	625
64527	27.9	-21.72	209	379	667
64528	28.39	-21.72	209	378	666
64529	28.87	-21.72	217	356	632
64530	29.35	-21.72	217	361	639
64531	29.84	-21.72	221	390	684
64532	30.32	-21.72	223	400	700
64533	30.81	-21.72	223	478	816
64534	31.29	-21.72	231	545	911
64535	31.77	-21.72	227	602	988
64536	32.26	-21.72	233	558	929
64537	32.74	-21.72	241	580	959
64538	33.22	-21.72	241	621	1014
64539	33.71	-21.72	231	658	1062
64540	34.19	-21.72	228	670	1077
64541	34.67	-21.72	229	754	1182
64542	35.16	-21.72	236	811	1249
65244	13.77	-21.27	191	15	30
65245	14.25	-21.27	200	55	108
65246	14.73	-21.27	217	104	200
65247	15.21	-21.27	216	180	338
65248	15.69	-21.27	197	290	525
65249	16.18	-21.27	197	365	646
65250	16.66	-21.27	193	394	691
65251	17.14	-21.27	198	357	633
65252	17.62	-21.27	197	392	688
65253	18.1	-21.27	192	428	742
65254	18.59	-21.27	194	451	776
65255	19.07	-21.27	196	418	727
65256	19.55	-21.27	200	390	684
65257	20.03	-21.27	204	394	691
65258	20.52	-21.27	208	398	697
65259	21	-21.27	208	419	729
65260	21.48	-21.27	211	432	748
65261	21.96	-21.27	213	433	750
65262	22.44	-21.27	214	423	735
65263	22.93	-21.27	216	403	704
65264	23.41	-21.27	217	387	680
65265	23.89	-21.27	217	365	646
65266	24.37	-21.27	217	347	617
65267	24.85	-21.27	215	346	616
65268	25.34	-21.27	212	356	632
65269	25.82	-21.27	208	365	646
65270	26.3	-21.27	204	383	674
65271	26.78	-21.27	202	410	715
65272	27.26	-21.27	206	435	753
65273	27.75	-21.27	205	445	767
65274	28.23	-21.27	204	416	724
65275	28.71	-21.27	204	436	754
65276	29.19	-21.27	206	416	724
65277	29.67	-21.27	209	488	830
65278	30.16	-21.27	212	470	804
65279	30.64	-21.27	219	477	814
65280	31.12	-21.27	221	550	918
65281	31.6	-21.27	228	550	918
65282	32.08	-21.27	226	577	955
65283	32.57	-21.27	236	601	987
65284	33.05	-21.27	234	718	1138
65285	33.53	-21.27	235	727	1149
65286	34.01	-21.27	235	736	1160
65287	34.49	-21.27	232	798	1234
65288	34.98	-21.27	236	833	1275
65992	13.66	-20.82	196	32	63
65993	14.14	-20.82	207	72	140
65994	14.62	-20.82	216	147	279
65995	15.11	-20.82	224	192	359
65996	15.59	-20.82	211	317	569
65997	16.07	-20.82	202	393	689
65998	16.55	-20.82	189	448	772
65999	17.03	-20.82	196	403	704
66000	17.51	-20.82	204	362	641
66001	17.99	-20.82	203	387	680
66002	18.47	-20.82	201	438	757
66003	18.95	-20.82	201	432	748
66004	19.43	-20.82	204	410	715
66005	19.91	-20.82	209	399	698
66006	20.39	-20.82	212	403	704
66007	20.87	-20.82	217	402	703
66008	21.35	-20.82	219	413	720
66009	21.83	-20.82	219	423	735
66010	22.31	-20.82	222	416	724
66011	22.79	-20.82	219	420	730
66012	23.27	-20.82	219	412	718
66013	23.76	-20.82	220	387	680
66014	24.24	-20.82	218	366	647
66015	24.72	-20.82	218	356	632
66016	25.2	-20.82	216	360	638
66017	25.68	-20.82	215	355	630
66018	26.16	-20.82	212	353	627
66019	26.64	-20.82	206	389	683
66020	27.12	-20.82	200	449	773
66021	27.6	-20.82	198	489	832
66022	28.08	-20.82	194	552	921
66023	28.56	-20.82	197	527	886
66024	29.04	-20.82	196	506	856
66025	29.52	-20.82	195	601	987
66026	30	-20.82	201	644	1044
66027	30.48	-20.82	209	603	990
66028	30.96	-20.82	215	639	1037
66029	31.44	-20.82	219	668	1075
66030	31.92	-20.82	222	586	967
66031	32.41	-20.82	222	634	1031
66032	32.89	-20.82	225	782	1215
66033	33.37	-20.82	230	836	1278
66034	33.85	-20.82	237	818	1257
66035	34.33	-20.82	239	837	1279
66036	34.81	-20.82	242	878	1325
66743	13.57	-20.38	195	55	108
66744	14.05	-20.38	203	131	250
66745	14.53	-20.38	215	176	331
66746	15.01	-20.38	219	238	439
66747	15.49	-20.38	223	273	497
66748	15.97	-20.38	218	347	617
66749	16.45	-20.38	210	419	729
66750	16.93	-20.38	194	453	779
66751	17.41	-20.38	197	385	677
66752	17.88	-20.38	208	388	681
66753	18.36	-20.38	205	421	732
66754	18.84	-20.38	206	432	748
66755	19.32	-20.38	208	425	738
66756	19.8	-20.38	210	421	732
66757	20.28	-20.38	214	418	727
66758	20.76	-20.38	217	417	726
66759	21.24	-20.38	221	413	720
66760	21.72	-20.38	223	415	723
66761	22.2	-20.38	223	419	729
66762	22.68	-20.38	223	424	736
66763	23.16	-20.38	222	432	748
66764	23.63	-20.38	221	421	732
66765	24.11	-20.38	220	399	698
66766	24.59	-20.38	219	384	675
66767	25.07	-20.38	218	388	681
66768	25.55	-20.38	217	380	669
66769	26.03	-20.38	215	368	650
66770	26.51	-20.38	210	383	674
66771	26.99	-20.38	202	446	769
66772	27.47	-20.38	192	545	911
66773	27.95	-20.38	188	595	979
66774	28.43	-20.38	181	589	971
66775	28.91	-20.38	193	584	964
66776	29.38	-20.38	190	598	983
66777	29.86	-20.38	196	526	884
66778	30.34	-20.38	206	585	966
66779	30.82	-20.38	198	732	1155
66780	31.3	-20.38	207	835	1277
66781	31.78	-20.38	209	756	1184
66782	32.26	-20.38	224	482	822
66783	32.74	-20.38	188	1280	1718
66784	33.22	-20.38	235	780	1213
66785	33.7	-20.38	232	925	1377
66786	34.18	-20.38	237	945	1398
66787	34.66	-20.38	244	953	1407
67495	13.02	-19.93	184	21	42
67496	13.49	-19.93	198	79	153
67497	13.97	-19.93	204	185	347
67498	14.45	-19.93	211	254	466
67499	14.93	-19.93	217	273	497
67500	15.41	-19.93	210	319	573
67501	15.88	-19.93	213	386	678
67502	16.36	-19.93	209	467	800
67503	16.84	-19.93	205	487	829
67504	17.32	-19.93	194	504	853
67505	17.79	-19.93	208	454	781
67506	18.27	-19.93	210	438	757
67507	18.75	-19.93	210	437	756
67508	19.23	-19.93	211	445	767
67509	19.71	-19.93	212	445	767
67510	20.18	-19.93	213	449	773
67511	20.66	-19.93	214	450	775
67512	21.14	-19.93	218	438	757
67513	21.62	-19.93	222	429	744
67514	22.09	-19.93	224	426	739
67515	22.57	-19.93	223	435	753
67516	23.05	-19.93	223	449	773
67517	23.53	-19.93	223	456	784
67518	24.01	-19.93	222	429	744
67519	24.48	-19.93	220	419	729
67520	24.96	-19.93	219	414	721
67521	25.44	-19.93	217	417	726
67522	25.92	-19.93	217	407	710
67523	26.39	-19.93	214	418	727
67524	26.87	-19.93	210	464	795
67525	27.35	-19.93	206	535	897
67526	27.83	-19.93	201	592	975
67527	28.31	-19.93	196	559	930
67528	28.78	-19.93	187	621	1014
67529	29.26	-19.93	180	658	1062
67530	29.74	-19.93	188	651	1053
67531	30.22	-19.93	195	619	1011
67532	30.69	-19.93	189	633	1029
67533	31.17	-19.93	184	715	1134
67534	31.65	-19.93	193	796	1232
67535	32.13	-19.93	214	485	826
67536	32.61	-19.93	156	1243	1686
67537	33.08	-19.93	207	1175	1625
67538	33.56	-19.93	239	884	1332
67539	34.04	-19.93	245	931	1383
67540	34.52	-19.93	246	1041	1497
68250	12.95	-19.48	179	38	75
68251	13.43	-19.48	208	105	202
68252	13.9	-19.48	220	174	327
68253	14.38	-19.48	216	292	529
68254	14.86	-19.48	207	331	592
68255	15.33	-19.48	208	364	644
68256	15.81	-19.48	219	387	680
68257	16.29	-19.48	220	445	767
68258	16.76	-19.48	217	504	853
68259	17.24	-19.48	213	552	921
68260	17.72	-19.48	205	594	978
68261	18.19	-19.48	208	508	859
68262	18.67	-19.48	214	459	788
68263	19.15	-19.48	216	461	791
68264	19.62	-19.48	213	476	813
68265	20.1	-19.48	213	478	816
68266	20.57	-19.48	215	473	809
68267	21.05	-19.48	217	466	798
68268	21.53	-19.48	221	447	770
68269	22	-19.48	223	437	756
68270	22.48	-19.48	223	444	766
68271	22.96	-19.48	223	458	787
68272	23.43	-19.48	223	464	795
68273	23.91	-19.48	223	455	782
68274	24.39	-19.48	221	444	766
68275	24.86	-19.48	220	437	756
68276	25.34	-19.48	217	438	757
68277	25.82	-19.48	216	448	772
68278	26.29	-19.48	214	472	807
68279	26.77	-19.48	213	493	838
68280	27.24	-19.48	211	540	904
68281	27.72	-19.48	211	574	951
68282	28.2	-19.48	204	578	956
68283	28.67	-19.48	194	611	1000
68284	29.15	-19.48	189	619	1011
68285	29.63	-19.48	184	651	1053
68286	30.1	-19.48	185	746	1172
68287	30.58	-19.48	176	660	1064
68288	31.06	-19.48	179	748	1174
68289	31.53	-19.48	193	617	1008
68290	32.01	-19.48	203	533	894
68291	32.49	-19.48	209	584	964
68292	32.96	-19.48	209	1072	1528
68293	33.44	-19.48	221	1082	1537
68294	33.91	-19.48	239	998	1454
68295	34.39	-19.48	250	1008	1464
68296	34.87	-19.48	247	1256	1697
68297	35.34	-19.48	249	1258	1699
69007	12.9	-19.03	186	73	142
69008	13.37	-19.03	218	120	230
69009	13.85	-19.03	196	281	511
69010	14.32	-19.03	217	297	537
69011	14.8	-19.03	219	337	601
69012	15.27	-19.03	221	356	632
69013	15.75	-19.03	224	386	678
69014	16.22	-19.03	226	423	735
69015	16.7	-19.03	227	459	788
69016	17.18	-19.03	226	511	863
69017	17.65	-19.03	226	527	886
69018	18.13	-19.03	223	524	882
69019	18.6	-19.03	220	507	858
69020	19.08	-19.03	218	501	849
69021	19.55	-19.03	216	505	855
69022	20.03	-19.03	216	511	863
69023	20.5	-19.03	216	506	856
69024	20.98	-19.03	218	495	840
69025	21.45	-19.03	220	475	812
69026	21.93	-19.03	222	446	769
69027	22.4	-19.03	222	450	775
69028	22.88	-19.03	222	471	806
69029	23.35	-19.03	222	480	819
69030	23.83	-19.03	222	478	816
69031	24.3	-19.03	222	470	804
69032	24.78	-19.03	220	464	795
69033	25.25	-19.03	219	461	791
69034	25.73	-19.03	216	487	829
69035	26.2	-19.03	215	533	894
69036	26.68	-19.03	211	562	934
69037	27.15	-19.03	209	597	982
69038	27.63	-19.03	212	600	986
69039	28.1	-19.03	208	590	972
69040	28.58	-19.03	202	633	1029
69041	29.05	-19.03	196	661	1066
69042	29.53	-19.03	189	644	1044
69043	30	-19.03	190	672	1080
69044	30.48	-19.03	184	693	1106
69045	30.95	-19.03	175	758	1186
69046	31.43	-19.03	183	781	1214
69047	31.9	-19.03	200	675	1084
69048	32.38	-19.03	196	726	1147
69049	32.85	-19.03	194	1008	1464
69050	33.33	-19.03	216	1159	1610
69051	33.8	-19.03	227	1200	1648
69052	34.28	-19.03	250	1005	1461
69053	34.76	-19.03	243	1188	1637
69054	35.23	-19.03	248	1180	1630
69055	35.71	-19.03	252	1142	1595
69765	12.38	-18.58	179	39	77
69766	12.86	-18.58	194	74	144
69767	13.33	-18.58	210	167	315
69768	13.81	-18.58	196	315	566
69769	14.28	-18.58	216	327	586
69770	14.75	-18.58	223	354	628
69771	15.23	-18.58	224	381	671
69772	15.7	-18.58	225	403	704
69773	16.18	-18.58	226	437	756
69774	16.65	-18.58	229	457	785
69775	17.12	-18.58	229	492	836
69776	17.6	-18.58	228	531	891
69777	18.07	-18.58	226	542	907
69778	18.54	-18.58	223	535	897
69779	19.02	-18.58	221	524	882
69780	19.49	-18.58	219	527	886
69781	19.97	-18.58	218	538	901
69782	20.44	-18.58	217	543	908
69783	20.91	-18.58	217	539	903
69784	21.39	-18.58	218	521	877
69785	21.86	-18.58	220	479	817
69786	22.34	-18.58	221	470	804
69787	22.81	-18.58	221	492	836
69788	23.28	-18.58	221	507	858
69789	23.76	-18.58	221	512	865
69790	24.23	-18.58	222	505	855
69791	24.71	-18.58	221	501	849
69792	25.18	-18.58	218	504	853
69793	25.65	-18.58	215	515	869
69794	26.13	-18.58	223	598	983
69795	26.6	-18.58	219	607	995
69796	27.07	-18.58	208	650	1052
69797	27.55	-18.58	214	653	1055
69798	28.02	-18.58	207	636	1033
69799	28.5	-18.58	202	662	1067
69800	28.97	-18.58	200	694	1108
69801	29.44	-18.58	200	693	1106
69802	29.92	-18.58	197	721	1141
69803	30.39	-18.58	188	724	1145
69804	30.87	-18.58	183	719	1139
69805	31.34	-18.58	183	786	1220
69806	31.81	-18.58	167	836	1278
69807	32.29	-18.58	166	820	1260
69808	32.76	-18.58	190	1248	1690
69809	33.23	-18.58	222	1463	1864
69810	33.71	-18.58	226	1395	1812
69811	34.18	-18.58	233	1301	1735
69812	34.66	-18.58	253	1074	1530
69813	35.13	-18.58	246	1112	1566
69814	35.6	-18.58	252	1056	1512
69815	36.08	-18.58	253	1070	1526
70525	11.88	-18.13	184	22	44
70526	12.36	-18.13	178	83	161
70527	12.83	-18.13	190	147	279
70528	13.3	-18.13	212	179	336
70529	13.78	-18.13	210	312	561
70530	14.25	-18.13	219	353	627
70531	14.72	-18.13	225	390	684
70532	15.19	-18.13	226	421	732
70533	15.67	-18.13	226	436	754
70534	16.14	-18.13	226	461	791
70535	16.61	-18.13	228	491	835
70536	17.08	-18.13	229	525	883
70537	17.56	-18.13	229	548	915
70538	18.03	-18.13	228	564	937
70539	18.5	-18.13	227	557	927
70540	18.97	-18.13	224	539	903
70541	19.45	-18.13	221	548	915
70542	19.92	-18.13	220	564	937
70543	20.39	-18.13	219	580	959
70544	20.86	-18.13	217	586	967
70545	21.34	-18.13	216	584	964
70546	21.81	-18.13	218	566	940
70547	22.28	-18.13	219	541	905
70548	22.76	-18.13	220	544	910
70549	23.23	-18.13	220	554	923
70550	23.7	-18.13	219	566	940
70551	24.17	-18.13	219	569	944
70552	24.65	-18.13	220	574	951
70553	25.12	-18.13	222	588	970
70554	25.59	-18.13	215	648	1049
70555	26.06	-18.13	219	677	1086
70556	26.54	-18.13	239	596	980
70557	27.01	-18.13	240	635	1032
70558	27.48	-18.13	226	671	1079
70559	27.95	-18.13	220	657	1061
70560	28.43	-18.13	214	694	1108
70561	28.9	-18.13	208	765	1195
70562	29.37	-18.13	210	742	1167
70563	29.84	-18.13	201	737	1161
70564	30.32	-18.13	195	760	1189
70565	30.79	-18.13	186	784	1217
70566	31.26	-18.13	176	816	1255
70567	31.74	-18.13	168	878	1325
70568	32.21	-18.13	179	791	1226
70569	32.68	-18.13	169	1139	1592
70570	33.15	-18.13	218	1738	2054
70571	33.63	-18.13	224	1485	1881
70572	34.1	-18.13	233	1264	1704
70573	34.57	-18.13	249	1089	1544
70574	35.04	-18.13	252	1041	1497
70575	35.52	-18.13	248	1046	1502
70576	35.99	-18.13	253	987	1442
70577	36.46	-18.13	253	1155	1607
71288	11.87	-17.68	184	39	77
71289	12.34	-17.68	180	112	215
71290	12.81	-17.68	179	221	409
71291	13.28	-17.68	190	292	529
71292	13.76	-17.68	209	336	600
71293	14.23	-17.68	217	369	652
71294	14.7	-17.68	225	406	709
71295	15.17	-17.68	226	464	795
71296	15.64	-17.68	226	494	839
71297	16.11	-17.68	226	514	867
71298	16.59	-17.68	227	539	903
71299	17.06	-17.68	228	563	936
71300	17.53	-17.68	229	588	970
71301	18	-17.68	229	605	992
71302	18.47	-17.68	229	601	987
71303	18.94	-17.68	226	565	938
71304	19.41	-17.68	223	562	934
71305	19.89	-17.68	220	585	966
71306	20.36	-17.68	218	575	952
71307	20.83	-17.68	216	601	987
71308	21.3	-17.68	215	618	1010
71309	21.77	-17.68	217	614	1004
71310	22.24	-17.68	219	602	988
71311	22.71	-17.68	219	601	987
71312	23.19	-17.68	219	612	1002
71313	23.66	-17.68	216	634	1031
71314	24.13	-17.68	215	650	1052
71315	24.6	-17.68	220	645	1045
71316	25.07	-17.68	228	652	1054
71317	25.54	-17.68	224	707	1124
71318	26.01	-17.68	217	753	1180
71319	26.49	-17.68	214	751	1178
71320	26.96	-17.68	241	721	1141
71321	27.43	-17.68	245	728	1150
71322	27.9	-17.68	221	719	1139
71323	28.37	-17.68	228	705	1121
71324	28.84	-17.68	224	753	1180
71325	29.31	-17.68	218	791	1226
71326	29.79	-17.68	208	796	1232
71327	30.26	-17.68	190	821	1261
71328	30.73	-17.68	179	811	1249
71329	31.2	-17.68	179	905	1355
71330	31.67	-17.68	186	905	1355
71331	32.14	-17.68	189	757	1185
