ComLoc	Member	MidMemberAge	noFossils	noGenus	noSpecies	EastWest	Formation
102 >< Tulu Bor	Tulu Bor	3.04	24	10	0	1	Koobi Fora
116 >< Tulu Bor	Tulu Bor	3.04	23	7	0	1	Koobi Fora
117 >< Tulu Bor	Tulu Bor	3.04	112	22	0	1	Koobi Fora
117 >< Lokochot ﾖ Tulu Bor	Lokochot ﾖ Tulu Bor	3.12	44	7	0	1	Koobi Fora
202 >< Tulu Bor	Tulu Bor	3.04	44	16	0	1	Koobi Fora
203 >< Tulu Bor	Tulu Bor	3.04	73	14	0	1	Koobi Fora
204 >< Lokochot ﾖ Tulu Bor	Lokochot ﾖ Tulu Bor	3.12	21	6	0	1	Koobi Fora
204 >< Tulu Bor	Tulu Bor	3.04	46	10	0	1	Koobi Fora
LO4 >< Lower Lomekwi	Lower Lomekwi	3.22	224	25	0	2	Nachukui
LO5 >< Lower Lomekwi	Lower Lomekwi	3.22	218	28	0	2	Nachukui
206 >< Tulu Bor	Tulu Bor	3.04	6	6	0	1	Koobi Fora
1A >< Okote	Okote	1.46	97	20	0	1	Koobi Fora
1A >< KBS	KBS	1.7	4	3	0	1	Koobi Fora
6A >< KBS	KBS	1.7	54	17	0	1	Koobi Fora
6A >< Okote	Okote	1.46	63	18	0	1	Koobi Fora
6A >< Chari	Chari	1.07	5	3	0	1	Koobi Fora
7A >< Okote	Okote	1.46	15	7	0	1	Koobi Fora
7A >< Chari	Chari	1.07	4	4	0	1	Koobi Fora
8A >< KBS	KBS	1.7	76	18	0	1	Koobi Fora
8A >< Okote	Okote	1.46	70	15	0	1	Koobi Fora
8B >< KBS	KBS	1.7	108	17	0	1	Koobi Fora
8B >< Okote	Okote	1.46	3	3	0	1	Koobi Fora
EG >< EG	NA	3	144	22	0	2	NA
KFII >< KBS	KBS	1.7	4	2	0	1	Koobi Fora
KFIIB >< KBS	KBS	1.7	6	4	0	1	Koobi Fora
KFIII >< KBS	KBS	1.7	11	6	0	1	Koobi Fora
KG >< Kalochoro	Kalochoro	2.1	13	7	0	2	Nachukui
KG1 >< Kalochoro	Kalochoro	2.1	21	12	0	2	Nachukui
KI2 >< Natoo	Natoo	1.39	4	4	0	2	Nachukui
KK >< Kalochoro	Kalochoro	2.1	35	13	0	2	Nachukui
KL1 >< Natoo	Natoo	1.39	74	16	0	2	Nachukui
KL2 >< Natoo	Natoo	1.39	10	6	0	2	Nachukui
KL3 >< Kaitio	Kaitio	1.68	15	10	0	2	Nachukui
KL4 >< Lokalalei	Lokalalei	2.43	6	4	0	2	Nachukui
KL5 >< Natoo	Natoo	1.39	4	3	0	2	Nachukui
KL6 >< Kaitio	Kaitio	1.68	25	13	0	2	Nachukui
KS1 >< Kaitio	Kaitio	1.68	36	13	0	2	Nachukui
KU1 >< Upper Lomekwi	Upper Lomekwi	2.57	23	12	0	2	Nachukui
KU2 >< Upper Lomekwi	Upper Lomekwi	2.57	51	16	0	2	Nachukui
KU3 >< Upper Lomekwi	Upper Lomekwi	2.57	7	5	0	2	Nachukui
LA1 >< Kalochoro	Kalochoro	2.1	25	12	0	2	Nachukui
LK3 >< Natoo	Natoo	1.39	11	6	0	2	Nachukui
LK4 >< Kaitio	Kaitio	1.68	10	8	0	2	Nachukui
LO1 >< Upper Lomekwi	Upper Lomekwi	2.57	52	15	0	2	Nachukui
LO10 >< Middle Lomekwi	Middle Lomekwi	2.8	20	9	0	2	Nachukui
LO2 >< Upper Lomekwi	Upper Lomekwi	2.57	7	6	0	2	Nachukui
LO3 >< Lokalalei	Lokalalei	2.43	30	15	0	2	Nachukui
LO7 >< Kalochoro	Kalochoro	2.1	2	2	0	2	Nachukui
LO8 >< Kalochoro	Kalochoro	2.1	21	10	0	2	Nachukui
LO9 >< Middle Lomekwi	Middle Lomekwi	2.8	44	15	0	2	Nachukui
LP1 >< Natoo	Natoo	1.39	4	4	0	2	Nachukui
NC1 >< Nariokotome	Nariokotome	1	47	15	0	2	Nachukui
NC2 >< Nariokotome	Nariokotome	1	9	7	0	2	Nachukui
NK1 >< Galana Boi	Galana Boi	0.01	2	2	0	2	Galana Boi
NK2 >< Natoo	Natoo	1.39	4	3	0	2	Nachukui
NK3 >< Natoo	Natoo	1.39	5	3	0	2	Nachukui
NN >< Natoo	Natoo	1.39	5	3	0	2	Nachukui
NO >< NO	NA	2	141	28	0	2	NA
NT1 >< Natoo	Natoo	1.39	5	3	0	2	Nachukui
NY2 >< Kaitio	Kaitio	1.68	30	13	0	2	Nachukui
NY3 >< Kaitio	Kaitio	1.68	26	11	0	2	Nachukui
NY4 >< Natoo	Natoo	1.39	6	5	0	2	Nachukui
KI1 >< Nariokotome	Nariokotome	1	2	2	0	2	Nachukui
106 >< Upper Burgi	Upper Burgi	1.91	2	2	0	1	Koobi Fora
129 >< LBM ﾖ UBM	LBM ﾖ UBM	2.25	1	1	0	1	Koobi Fora
KFIIA >< UBM ﾖ KBS	UBM ﾖ KBS	1.74	1	1	0	1	Koobi Fora
