ComLoc	Member	MidMemberAge	noFossils	noGenus	EastWest	Formation	meanHYP	meanHOR	meanAL	meanOL	meanSF	meanOT	meanCM	temp_high	pred_npp_ecom	pred_npp_ecomI	pred_npp_base_ecom	meanLOP	pred_habitat	pred_taxa
LT-J >< Lower Nawata	Lower Nawata	7.8	531	25	2	Nawata	2	1.24	0.12	0.8	0.24	0.24	0.28	20.328	1517.2618249858	1673.08	1363.8	1.24	1284.21428571429	1030.24937990964
LT-K >< Upper Nawata	Upper Nawata	5.75	426	27	2	Nawata	2.074	1.222	0.148	0.815	0.222	0.222	0.222	20.7693	1415.84120493565	1473.133	1447.142	1.259	1204.33333333333	658.46768108583
102 >< Tulu Bor	Tulu Bor	3.04	24	10	1	Koobi Fora	2	1.3	0.1	0.7	0.3	0.5	0.4	18.66	1371.16491316236	2377.5	994.6	1	1277.44444444444	1033.30275328266
116 >< Tulu Bor	Tulu Bor	3.04	23	7	1	Koobi Fora	2.429	1.714	0.143	0.571	0	0.571	0.429	40.9779	598.168986427418	1002.251	998.99	0.857	1286.5	796.220733017886
117 >< Tulu Bor	Tulu Bor	3.04	112	22	1	Koobi Fora	2.182	1.273	0.091	0.682	0.227	0.318	0.318	24.1405	1147.50613961645	1542.563	1203.107	1.091	1340.41176470588	1404.99221618355
117 >< Lokochot ﾖ Tulu Bor	Lokochot ﾖ Tulu Bor	3.12	44	7	1	Koobi Fora	2.143	1.714	0.286	0.429	0.143	0.429	0.429	31.8052	895.101854140657	1540.583	1487.369	0.571	1310	789.260706772162
202 >< Tulu Bor	Tulu Bor	3.04	44	16	1	Koobi Fora	2.125	1.312	0.062	0.688	0.375	0.312	0.375	14.4543	1187.89910313326	2078.593	1147.666	1	1318.33333333333	1309.49338680634
203 >< Tulu Bor	Tulu Bor	3.04	73	14	1	Koobi Fora	2.143	1.357	0	0.786	0.429	0.357	0.5	9.8007	1159.86225934981	2336.668	956.679	1	1358.16666666667	1237.28791386791
204 >< Lokochot ﾖ Tulu Bor	Lokochot ﾖ Tulu Bor	3.12	21	6	1	Koobi Fora	2.333	2.167	0.167	0.5	0	0.667	0.667	42.0444	511.709476679277	1335.803	930.806	0.333	1370.66666666667	836.410311892099
204 >< Tulu Bor	Tulu Bor	3.04	46	10	1	Koobi Fora	2.5	1	0	1	0.4	0.2	0.3	7.34	675.518859708664	1459.7	1153.4	1.6	1204	888.182266628283
